Gender,AgeGroup,Education,Profession,Income,Switcher,LastPurchase,Annual_Spend,APhone
F,65+,Masters,Executive,311741,1,1,358.0,0.0
M,25-34,HighSchool,Teacher,30621,1,1,180.0,0.0
M,55-64,Masters,Performer,308384,0,5,471.0,0.0
M,45-54,HighSchool,Secretary,29568,1,1,302.0,0.0
F,55-64,Doctorate,Lawyer,151323,0,3,731.0,1.0
M,65+,Doctorate,Doctor,178743,0,2,1043.0,1.0
M,18-24,HighSchool,Janitor,20118,0,4,633.0,0.0
F,35-44,Associate,Architect,68228,0,5,1393.0,1.0
F,25-34,Masters,Performer,125657,1,1,679.0,0.0
M,35-44,HighSchool,Student,26993,0,2,523.0,0.0
M,55-64,HighSchool,Student,33047,0,5,267.0,0.0
M,45-54,Bachelors,Manager,53658,0,2,455.0,0.0
M,35-44,Bachelors,Architect,52264,0,5,565.0,0.0
M,18-24,HighSchool,Janitor,14575,1,2,759.0,0.0
M,35-44,Bachelors,Nurse,41444,1,2,871.0,1.0
M,18-24,HighSchool,Teacher,19131,1,2,225.0,0.0
M,25-34,Bachelors,Manager,59615,1,1,319.0,0.0
M,35-44,Associate,Programmer,40004,1,2,1466.0,1.0
M,18-24,Associate,Janitor,19162,1,1,641.0,0.0
F,45-54,HighSchool,Student,15785,0,2,358.0,0.0
M,55-64,HighSchool,Secretary,15593,0,5,302.0,0.0
F,25-34,HighSchool,Student,12254,0,5,252.0,0.0
M,25-34,Doctorate,Entrepreneur,128837,1,2,313.0,0.0
M,55-64,Masters,Performer,265006,0,5,360.0,0.0
M,35-44,Bachelors,Technician,88530,0,3,319.0,0.0
M,25-34,Associate,Clerk,12627,0,2,1408.0,1.0
M,55-64,Masters,Performer,237996,0,5,382.0,0.0
F,65+,Associate,Clerk,39859,0,5,266.0,0.0
M,18-24,HighSchool,Student,20871,0,5,598.0,0.0
M,25-34,Doctorate,Entrepreneur,133873,1,2,1076.0,1.0
M,55-64,HighSchool,Teacher,37087,0,3,279.0,0.0
F,45-54,Bachelors,Lawyer,125190,1,1,1003.0,1.0
F,55-64,Masters,Performer,206916,0,4,446.0,0.0
F,65+,Doctorate,Doctor,368033,0,3,941.0,0.0
M,45-54,HighSchool,Student,15079,0,5,658.0,0.0
M,18-24,HighSchool,Secretary,37703,1,2,1425.0,1.0
M,18-24,HighSchool,Janitor,11442,1,1,626.0,0.0
F,55-64,HighSchool,Janitor,30843,0,2,1376.0,1.0
M,55-64,HighSchool,Teacher,24122,0,2,512.0,0.0
F,45-54,Masters,Doctor,141995,1,2,853.0,1.0
M,45-54,HighSchool,Clerk,27156,1,1,243.0,0.0
F,35-44,Associate,Nurse,43591,0,4,1380.0,1.0
F,35-44,Associate,Teacher,18438,0,5,1351.0,1.0
M,25-34,HighSchool,Janitor,14319,1,2,205.0,0.0
M,25-34,Associate,Janitor,13655,1,2,1223.0,1.0
M,65+,HighSchool,Teacher,16966,0,5,1185.0,1.0
M,65+,HighSchool,Janitor,20451,0,2,225.0,0.0
M,25-34,Associate,Teacher,26413,1,2,551.0,0.0
F,25-34,Associate,Secretary,24020,1,1,471.0,0.0
M,45-54,Masters,Doctor,120938,0,2,611.0,0.0
F,55-64,HighSchool,Janitor,32449,0,5,732.0,0.0
M,25-34,HighSchool,Teacher,27247,1,1,427.0,0.0
M,55-64,Masters,Performer,270232,0,2,235.0,0.0
M,45-54,Doctorate,Entrepreneur,209010,0,5,1220.0,1.0
M,45-54,Masters,Lawyer,215264,0,2,520.0,0.0
M,55-64,Doctorate,Lawyer,317892,1,2,1164.0,1.0
M,35-44,HighSchool,Secretary,15327,0,3,221.0,0.0
M,55-64,HighSchool,Janitor,22406,0,5,171.0,0.0
M,35-44,HighSchool,Secretary,16691,0,2,205.0,0.0
F,35-44,Masters,Executive,233979,0,5,736.0,1.0
F,65+,Doctorate,Executive,281861,0,2,1230.0,1.0
M,65+,Bachelors,Manager,92075,0,2,657.0,0.0
M,25-34,HighSchool,Student,29566,0,2,324.0,0.0
M,25-34,Bachelors,Technician,55818,1,2,222.0,0.0
M,55-64,Masters,Entrepreneur,179679,0,5,966.0,1.0
F,55-64,Associate,Janitor,22730,0,5,588.0,0.0
F,65+,Bachelors,Doctor,157583,0,4,604.0,0.0
F,55-64,Masters,Entrepreneur,182713,1,1,507.0,0.0
M,35-44,Bachelors,Technician,69312,0,4,762.0,0.0
M,18-24,HighSchool,Secretary,8083,1,1,552.0,0.0
M,25-34,HighSchool,Janitor,20446,1,1,412.0,0.0
F,25-34,HighSchool,Secretary,10495,0,2,571.0,0.0
M,65+,HighSchool,Secretary,17015,0,5,553.0,0.0
F,55-64,Associate,Student,21696,0,5,680.0,0.0
M,25-34,HighSchool,Secretary,10000,1,1,221.0,0.0
F,25-34,HighSchool,Clerk,10475,1,2,225.0,0.0
F,25-34,Associate,Clerk,29990,1,1,474.0,0.0
F,18-24,Masters,Nurse,41022,1,2,819.0,0.0
F,35-44,Doctorate,Performer,139474,0,2,209.0,0.0
M,25-34,HighSchool,Janitor,33395,1,2,301.0,0.0
M,55-64,HighSchool,Janitor,18183,0,5,415.0,0.0
F,45-54,Masters,Performer,155929,0,4,1276.0,1.0
F,25-34,Bachelors,Architect,41343,1,2,897.0,1.0
M,18-24,HighSchool,Teacher,8528,1,2,288.0,0.0
M,25-34,Doctorate,Doctor,133271,1,1,868.0,1.0
F,35-44,Masters,Nurse,46172,0,3,580.0,0.0
F,45-54,Masters,Lawyer,120934,0,2,398.0,0.0
M,25-34,HighSchool,Teacher,10015,1,2,234.0,0.0
M,55-64,HighSchool,Teacher,15585,0,5,308.0,0.0
F,45-54,Associate,Technician,59765,1,1,1119.0,1.0
M,65+,Bachelors,Entrepreneur,168576,1,2,863.0,1.0
F,65+,HighSchool,Clerk,22805,1,2,654.0,0.0
F,65+,Bachelors,Performer,392198,0,5,223.0,0.0
F,18-24,HighSchool,Clerk,8016,1,2,258.0,0.0
M,35-44,Associate,Technician,53956,0,4,1433.0,1.0
M,25-34,HighSchool,Janitor,11317,0,2,254.0,0.0
M,45-54,Associate,Clerk,23064,0,2,714.0,0.0
M,35-44,HighSchool,Student,20519,0,5,691.0,0.0
M,45-54,Bachelors,Performer,115274,1,1,555.0,0.0
F,35-44,Masters,Entrepreneur,113832,0,5,430.0,0.0
M,18-24,HighSchool,Clerk,33741,1,1,269.0,0.0
F,55-64,HighSchool,Janitor,35583,0,5,665.0,0.0
M,55-64,HighSchool,Teacher,16210,1,1,702.0,0.0
M,25-34,HighSchool,Secretary,27603,1,2,304.0,0.0
F,45-54,HighSchool,Clerk,25637,0,3,501.0,0.0
M,25-34,Bachelors,Technician,91258,1,1,768.0,0.0
F,45-54,Bachelors,Performer,113670,0,4,437.0,0.0
M,35-44,HighSchool,Teacher,34958,0,2,1108.0,0.0
M,55-64,Associate,Architect,62675,1,2,752.0,0.0
M,35-44,Masters,Executive,122803,0,4,1374.0,1.0
M,55-64,Masters,Executive,316160,1,2,625.0,0.0
F,18-24,HighSchool,Janitor,12154,1,1,406.0,0.0
M,25-34,Associate,Architect,64345,1,1,231.0,0.0
F,55-64,Bachelors,Performer,154031,0,5,477.0,0.0
M,18-24,Associate,Teacher,14030,1,1,351.0,0.0
M,65+,Masters,Doctor,320117,0,5,630.0,0.0
M,18-24,Associate,Manager,58251,1,2,358.0,0.0
M,45-54,HighSchool,Janitor,17959,1,1,601.0,0.0
F,25-34,Masters,Lawyer,159339,1,2,1087.0,1.0
M,45-54,Associate,Clerk,15127,0,2,333.0,0.0
F,65+,HighSchool,Teacher,30873,0,4,351.0,0.0
F,35-44,Doctorate,Performer,197271,0,5,300.0,0.0
F,65+,Doctorate,Executive,386873,1,2,649.0,0.0
M,35-44,HighSchool,Secretary,17844,0,3,583.0,0.0
M,65+,HighSchool,Student,19309,1,1,393.0,0.0
F,55-64,Masters,Lawyer,144293,0,3,857.0,1.0
M,45-54,Bachelors,Programmer,66994,0,4,855.0,1.0
M,45-54,Doctorate,Lawyer,307896,0,2,262.0,0.0
F,35-44,Bachelors,Programmer,88552,0,5,303.0,0.0
M,55-64,Masters,Architect,75828,0,4,618.0,0.0
M,25-34,Doctorate,Entrepreneur,187018,1,1,496.0,0.0
M,35-44,Masters,Lawyer,206185,1,1,1438.0,1.0
F,45-54,HighSchool,Secretary,17583,1,1,691.0,0.0
M,25-34,HighSchool,Teacher,11543,1,1,631.0,0.0
F,55-64,Masters,Doctor,234221,1,1,1283.0,1.0
M,25-34,HighSchool,Student,28667,0,5,214.0,0.0
M,65+,Bachelors,Entrepreneur,217564,0,2,1031.0,1.0
M,55-64,HighSchool,Teacher,15808,0,2,603.0,0.0
M,18-24,HighSchool,Clerk,8198,1,2,540.0,0.0
M,45-54,Masters,Performer,196926,0,4,518.0,0.0
F,65+,Doctorate,Doctor,132519,0,3,1467.0,1.0
M,18-24,Masters,Manager,51099,1,1,743.0,0.0
F,55-64,Associate,Janitor,19557,0,2,742.0,0.0
M,25-34,HighSchool,Clerk,10348,1,1,813.0,0.0
M,55-64,Doctorate,Lawyer,183141,0,3,1224.0,1.0
M,55-64,Doctorate,Performer,241754,1,2,328.0,0.0
F,25-34,HighSchool,Teacher,32538,1,2,347.0,0.0
M,45-54,Masters,Entrepreneur,247005,0,3,722.0,0.0
M,18-24,Associate,Student,33645,1,2,614.0,0.0
M,45-54,Bachelors,Manager,41014,0,4,915.0,1.0
M,55-64,Masters,Performer,130652,0,4,703.0,0.0
F,35-44,Doctorate,Lawyer,298935,1,1,803.0,0.0
F,25-34,Masters,Doctor,170115,1,1,1248.0,1.0
F,18-24,Associate,Clerk,10998,1,2,746.0,0.0
F,35-44,Associate,Teacher,22697,0,4,406.0,0.0
F,45-54,Bachelors,Architect,92955,0,3,1290.0,1.0
M,25-34,Associate,Architect,46508,0,4,208.0,0.0
M,25-34,HighSchool,Secretary,38294,1,1,272.0,0.0
M,55-64,Bachelors,Technician,94450,0,5,476.0,0.0
M,45-54,Bachelors,Nurse,52216,0,4,741.0,0.0
F,25-34,Bachelors,Architect,90158,1,1,753.0,0.0
M,55-64,Doctorate,Performer,211204,0,3,579.0,0.0
F,45-54,Masters,Lawyer,164895,0,4,1306.0,1.0
M,45-54,Bachelors,Technician,64915,0,3,604.0,0.0
F,35-44,Doctorate,Entrepreneur,179284,0,3,1081.0,1.0
F,55-64,Bachelors,Performer,258191,0,3,553.0,0.0
M,55-64,HighSchool,Clerk,15049,0,2,674.0,0.0
M,65+,Masters,Entrepreneur,247582,1,1,526.0,0.0
F,25-34,Associate,Technician,74082,1,1,497.0,0.0
M,35-44,HighSchool,Teacher,19936,0,3,1091.0,1.0
M,35-44,Masters,Executive,285386,0,5,554.0,0.0
F,55-64,Bachelors,Programmer,75347,1,1,555.0,0.0
F,45-54,Bachelors,Nurse,42449,1,1,1124.0,0.0
F,65+,Masters,Entrepreneur,160159,0,3,793.0,0.0
F,55-64,Masters,Performer,123347,0,4,414.0,0.0
M,65+,HighSchool,Janitor,19683,1,1,318.0,0.0
M,65+,Bachelors,Architect,76524,0,2,1386.0,1.0
M,25-34,HighSchool,Janitor,36599,1,1,404.0,0.0
F,35-44,Masters,Lawyer,241516,1,2,704.0,0.0
F,55-64,Doctorate,Executive,226365,1,2,646.0,0.0
F,55-64,Masters,Doctor,115261,1,2,785.0,1.0
F,18-24,Associate,Student,17842,0,5,727.0,0.0
M,25-34,HighSchool,Secretary,38212,1,2,634.0,0.0
F,45-54,Bachelors,Performer,173173,0,3,765.0,0.0
F,18-24,HighSchool,Student,36085,1,1,386.0,0.0
M,45-54,Masters,Lawyer,246222,0,4,1377.0,1.0
M,65+,Masters,Entrepreneur,240892,1,2,737.0,0.0
F,25-34,Associate,Student,39453,1,2,250.0,0.0
M,45-54,Masters,Executive,297623,0,5,702.0,0.0
M,55-64,HighSchool,Teacher,15022,1,2,312.0,0.0
F,55-64,Doctorate,Doctor,278969,0,2,1016.0,1.0
M,55-64,Associate,Student,17296,1,1,267.0,0.0
F,35-44,Masters,Entrepreneur,138137,0,5,718.0,1.0
M,25-34,Masters,Performer,159427,1,1,1449.0,1.0
M,65+,Bachelors,Entrepreneur,352665,0,4,734.0,0.0
F,45-54,HighSchool,Clerk,15000,0,2,578.0,0.0
M,25-34,Masters,Lawyer,102400,1,2,560.0,0.0
M,35-44,Bachelors,Manager,56611,0,2,1452.0,1.0
M,25-34,Associate,Secretary,18637,1,1,354.0,0.0
M,18-24,HighSchool,Teacher,8017,1,2,251.0,0.0
M,65+,Doctorate,Executive,159112,0,4,1367.0,1.0
F,55-64,Bachelors,Doctor,307949,1,2,1072.0,1.0
M,45-54,Masters,Executive,124390,0,3,596.0,0.0
M,35-44,HighSchool,Clerk,16959,0,3,315.0,0.0
M,35-44,Masters,Entrepreneur,105777,1,1,530.0,0.0
M,45-54,Masters,Lawyer,297761,1,1,514.0,0.0
F,18-24,HighSchool,Janitor,11353,1,1,757.0,0.0
M,65+,Associate,Clerk,15069,0,2,465.0,0.0
F,18-24,Associate,Secretary,17918,0,3,493.0,0.0
F,35-44,Bachelors,Executive,288097,1,2,194.0,0.0
M,25-34,HighSchool,Student,21056,1,1,1401.0,1.0
M,35-44,Masters,Lawyer,192113,0,2,285.0,0.0
F,35-44,Doctorate,Entrepreneur,227482,1,2,1063.0,1.0
M,25-34,HighSchool,Janitor,10076,0,5,406.0,0.0
F,35-44,Masters,Doctor,118249,1,2,418.0,0.0
M,35-44,Associate,Janitor,20823,0,2,383.0,0.0
F,65+,Masters,Executive,262930,0,2,605.0,0.0
M,45-54,Bachelors,Programmer,78280,1,2,569.0,0.0
M,55-64,HighSchool,Secretary,38280,0,5,370.0,0.0
M,35-44,Doctorate,Executive,178713,0,2,1107.0,1.0
M,45-54,Masters,Programmer,54720,0,3,407.0,0.0
M,45-54,Masters,Doctor,231005,1,2,1236.0,0.0
F,65+,Associate,Secretary,16141,1,2,179.0,0.0
M,18-24,HighSchool,Clerk,8076,1,2,251.0,0.0
M,65+,Masters,Lawyer,285310,1,2,1193.0,1.0
M,45-54,Masters,Entrepreneur,125089,0,4,620.0,0.0
F,25-34,HighSchool,Janitor,17638,1,1,423.0,0.0
F,18-24,HighSchool,Student,13090,1,2,714.0,0.0
M,45-54,Associate,Teacher,34543,0,2,258.0,0.0
M,55-64,Masters,Performer,121455,1,1,372.0,0.0
M,25-34,Masters,Performer,160179,0,4,352.0,0.0
F,55-64,Associate,Student,15020,0,3,666.0,0.0
M,35-44,Masters,Lawyer,114378,0,2,552.0,0.0
M,25-34,Associate,Student,10977,1,1,606.0,0.0
M,35-44,Bachelors,Programmer,62587,1,1,589.0,0.0
F,65+,Associate,Teacher,21635,1,1,335.0,0.0
F,25-34,Associate,Secretary,10015,1,2,340.0,0.0
F,45-54,Masters,Entrepreneur,266112,0,4,294.0,0.0
M,35-44,Associate,Secretary,33744,0,3,459.0,0.0
M,35-44,Masters,Lawyer,175555,0,2,1207.0,1.0
M,35-44,Masters,Lawyer,201963,0,5,720.0,0.0
M,35-44,HighSchool,Clerk,35550,0,5,585.0,0.0
M,35-44,Masters,Programmer,67381,0,5,689.0,0.0
M,25-34,HighSchool,Teacher,15456,1,1,492.0,0.0
M,25-34,Masters,Doctor,166828,0,4,721.0,0.0
M,35-44,Bachelors,Programmer,65329,1,2,539.0,0.0
M,65+,HighSchool,Teacher,16198,0,4,539.0,0.0
F,65+,Doctorate,Doctor,177479,0,4,999.0,1.0
M,25-34,Associate,Secretary,11904,1,1,351.0,0.0
F,65+,Masters,Lawyer,112929,0,3,1017.0,1.0
M,35-44,Associate,Secretary,35285,0,5,367.0,0.0
F,55-64,Masters,Executive,202843,0,2,458.0,0.0
M,45-54,Masters,Architect,56622,0,2,347.0,0.0
M,65+,Masters,Lawyer,171107,1,1,695.0,0.0
F,45-54,Masters,Performer,166010,0,4,221.0,0.0
M,65+,Masters,Architect,87202,1,1,719.0,1.0
M,65+,Masters,Nurse,57070,0,2,281.0,0.0
M,55-64,Doctorate,Doctor,323778,0,3,1072.0,1.0
M,55-64,Associate,Student,32877,0,2,472.0,0.0
M,35-44,Bachelors,Performer,271219,0,2,457.0,0.0
F,65+,Masters,Doctor,188677,0,4,953.0,1.0
F,45-54,Masters,Doctor,241047,0,3,607.0,0.0
F,35-44,HighSchool,Secretary,28170,0,2,529.0,0.0
F,35-44,Associate,Technician,69287,0,4,175.0,0.0
F,65+,HighSchool,Janitor,21771,0,5,211.0,0.0
M,65+,Bachelors,Architect,42383,0,4,219.0,0.0
F,35-44,HighSchool,Student,27970,0,3,185.0,0.0
F,35-44,Masters,Programmer,42043,0,3,1014.0,1.0
M,35-44,Bachelors,Technician,91597,0,5,572.0,0.0
M,55-64,HighSchool,Student,19109,1,1,449.0,0.0
F,18-24,Bachelors,Architect,63306,1,2,562.0,0.0
F,55-64,HighSchool,Student,29785,0,5,417.0,0.0
M,25-34,Masters,Doctor,107466,0,2,981.0,1.0
M,35-44,HighSchool,Secretary,14600,1,1,542.0,0.0
M,45-54,Associate,Secretary,15372,1,1,359.0,0.0
M,55-64,Bachelors,Performer,282332,0,3,351.0,0.0
F,25-34,Masters,Lawyer,104480,1,1,1148.0,1.0
M,55-64,Bachelors,Nurse,59994,0,5,751.0,1.0
F,65+,Masters,Technician,59940,1,2,1171.0,1.0
F,35-44,HighSchool,Clerk,26411,1,2,365.0,0.0
F,25-34,HighSchool,Student,20673,1,1,758.0,0.0
M,35-44,Masters,Nurse,64266,0,3,1390.0,0.0
M,25-34,Masters,Executive,107385,1,2,220.0,0.0
M,18-24,HighSchool,Secretary,28866,1,1,185.0,0.0
F,65+,HighSchool,Student,17200,1,1,576.0,0.0
M,65+,Masters,Lawyer,270684,0,2,764.0,0.0
F,35-44,Bachelors,Performer,179129,0,3,640.0,0.0
M,55-64,HighSchool,Clerk,15819,0,4,719.0,0.0
M,55-64,Doctorate,Performer,195742,1,1,827.0,1.0
M,65+,Doctorate,Lawyer,136797,0,5,1425.0,1.0
F,18-24,Masters,Manager,50669,0,5,715.0,0.0
F,35-44,Masters,Performer,298479,0,4,407.0,0.0
F,35-44,Bachelors,Nurse,40303,0,4,749.0,0.0
M,25-34,Associate,Architect,82485,0,2,287.0,0.0
M,25-34,HighSchool,Janitor,14096,1,1,745.0,0.0
F,55-64,Masters,Performer,136735,0,3,267.0,0.0
F,55-64,Masters,Performer,194602,0,3,738.0,0.0
M,25-34,Associate,Janitor,14532,1,2,403.0,0.0
F,35-44,Masters,Performer,253659,0,3,586.0,0.0
F,55-64,Masters,Executive,107519,0,2,371.0,0.0
M,18-24,HighSchool,Janitor,27884,1,2,481.0,0.0
M,25-34,Associate,Student,10444,1,2,399.0,0.0
M,65+,Bachelors,Performer,269193,0,2,288.0,0.0
F,25-34,Bachelors,Technician,87109,1,1,760.0,1.0
M,25-34,Masters,Architect,75615,1,1,363.0,0.0
F,55-64,Doctorate,Doctor,107191,1,2,1105.0,1.0
M,35-44,HighSchool,Student,13999,0,2,522.0,0.0
M,45-54,Masters,Doctor,282911,0,5,528.0,0.0
F,35-44,Associate,Secretary,13505,0,5,192.0,0.0
M,45-54,Bachelors,Nurse,75299,0,4,876.0,0.0
M,35-44,Doctorate,Entrepreneur,224718,0,5,1366.0,1.0
M,45-54,Bachelors,Manager,88338,0,2,709.0,0.0
M,35-44,HighSchool,Janitor,28833,0,2,319.0,0.0
M,45-54,HighSchool,Teacher,16100,1,1,626.0,0.0
F,35-44,Masters,Entrepreneur,104466,0,2,206.0,0.0
F,45-54,Associate,Janitor,22028,0,5,534.0,0.0
M,35-44,Bachelors,Technician,63436,0,3,1307.0,0.0
M,35-44,Masters,Executive,222142,0,5,205.0,0.0
M,35-44,Bachelors,Manager,58777,0,5,419.0,0.0
M,18-24,Associate,Secretary,24384,0,3,355.0,0.0
M,35-44,HighSchool,Student,38991,0,2,904.0,0.0
M,45-54,Bachelors,Architect,64722,1,1,585.0,0.0
M,35-44,Bachelors,Lawyer,131952,0,4,570.0,0.0
M,18-24,Bachelors,Manager,49549,1,1,781.0,1.0
M,45-54,Masters,Entrepreneur,183980,1,1,1329.0,1.0
F,25-34,HighSchool,Clerk,19518,0,5,251.0,0.0
M,35-44,Bachelors,Executive,276410,1,2,1041.0,1.0
M,35-44,Bachelors,Programmer,48809,1,2,761.0,0.0
F,35-44,Associate,Architect,95815,0,5,1500.0,1.0
F,35-44,Masters,Technician,96882,0,2,505.0,0.0
M,45-54,Associate,Manager,90760,1,2,1429.0,1.0
M,45-54,Masters,Entrepreneur,238010,0,3,1435.0,1.0
F,55-64,Masters,Performer,257727,1,2,583.0,0.0
M,65+,Masters,Executive,202957,0,2,1217.0,1.0
M,65+,HighSchool,Teacher,33432,1,1,682.0,0.0
M,25-34,Associate,Student,20506,1,1,387.0,0.0
M,45-54,Bachelors,Executive,246828,0,3,300.0,0.0
M,65+,HighSchool,Secretary,22367,0,3,744.0,0.0
M,18-24,Associate,Janitor,22104,1,2,579.0,0.0
F,25-34,HighSchool,Clerk,19875,1,2,433.0,0.0
F,35-44,Bachelors,Technician,63054,1,1,837.0,1.0
M,35-44,Masters,Executive,152364,0,4,595.0,0.0
M,65+,HighSchool,Janitor,15838,0,3,230.0,0.0
M,45-54,Bachelors,Programmer,86011,1,2,1312.0,1.0
F,65+,Masters,Programmer,59199,0,3,1299.0,1.0
M,35-44,Masters,Entrepreneur,146466,1,1,311.0,0.0
F,55-64,HighSchool,Clerk,37161,0,3,188.0,0.0
M,45-54,Associate,Teacher,32513,0,3,388.0,0.0
M,55-64,Masters,Executive,184912,0,5,1260.0,1.0
F,55-64,Masters,Technician,56263,0,5,232.0,0.0
M,45-54,Masters,Entrepreneur,125967,0,4,825.0,1.0
M,45-54,Bachelors,Manager,48452,0,3,258.0,0.0
F,55-64,Masters,Lawyer,243493,1,2,1352.0,1.0
M,25-34,HighSchool,Secretary,11670,1,2,433.0,0.0
F,65+,HighSchool,Teacher,30520,0,2,920.0,1.0
M,65+,Doctorate,Entrepreneur,157957,0,4,210.0,0.0
M,55-64,Associate,Student,29520,0,4,488.0,0.0
F,55-64,HighSchool,Teacher,37305,0,3,487.0,0.0
M,35-44,Bachelors,Doctor,253637,0,4,517.0,0.0
M,35-44,HighSchool,Janitor,38930,1,2,656.0,0.0
F,35-44,Bachelors,Doctor,119820,0,2,324.0,0.0
M,35-44,Masters,Programmer,51279,1,1,714.0,0.0
M,35-44,Bachelors,Manager,88836,0,5,604.0,0.0
M,25-34,Masters,Technician,47151,1,1,524.0,0.0
M,55-64,Doctorate,Lawyer,151379,0,3,332.0,0.0
M,18-24,Masters,Architect,49013,1,2,1253.0,1.0
M,25-34,Bachelors,Architect,65097,0,2,732.0,1.0
M,35-44,Bachelors,Nurse,96537,0,3,513.0,0.0
M,35-44,Masters,Technician,69185,0,3,1479.0,1.0
F,35-44,Masters,Executive,260478,0,5,658.0,0.0
M,65+,Masters,Lawyer,123956,0,5,376.0,0.0
M,55-64,Masters,Entrepreneur,104155,1,1,203.0,0.0
M,45-54,Bachelors,Nurse,75173,0,4,439.0,0.0
M,25-34,Associate,Janitor,18339,0,5,285.0,0.0
M,45-54,HighSchool,Janitor,16181,0,3,437.0,0.0
M,25-34,HighSchool,Secretary,17419,1,2,752.0,0.0
M,55-64,Masters,Technician,41635,0,2,435.0,0.0
M,55-64,HighSchool,Janitor,35272,0,5,301.0,0.0
M,45-54,Associate,Teacher,37827,0,3,189.0,0.0
M,35-44,Masters,Performer,213083,0,3,469.0,0.0
F,25-34,Doctorate,Lawyer,116699,1,2,1426.0,1.0
M,45-54,Masters,Performer,149390,0,4,356.0,0.0
M,45-54,HighSchool,Clerk,15015,1,1,707.0,0.0
M,45-54,Associate,Architect,91583,0,3,1392.0,1.0
F,25-34,Masters,Architect,63798,1,1,621.0,0.0
M,55-64,Masters,Executive,172715,0,3,612.0,0.0
M,25-34,Masters,Entrepreneur,121958,1,1,610.0,0.0
M,65+,Masters,Performer,182413,0,5,502.0,0.0
F,45-54,Bachelors,Entrepreneur,115930,0,3,1404.0,1.0
F,45-54,Bachelors,Technician,91988,0,4,716.0,0.0
M,25-34,Doctorate,Doctor,112798,1,2,719.0,0.0
M,45-54,Doctorate,Entrepreneur,229855,0,5,868.0,1.0
F,25-34,HighSchool,Clerk,10217,1,2,201.0,0.0
F,25-34,HighSchool,Secretary,14247,0,5,463.0,0.0
F,45-54,Masters,Doctor,154492,0,3,1280.0,1.0
M,25-34,HighSchool,Teacher,15049,1,1,1059.0,1.0
M,55-64,Masters,Lawyer,246207,0,5,1422.0,1.0
M,35-44,Bachelors,Lawyer,147787,1,2,1230.0,1.0
M,65+,HighSchool,Student,23334,0,3,432.0,0.0
M,65+,Masters,Performer,209067,0,3,424.0,0.0
M,65+,Bachelors,Lawyer,372715,1,2,267.0,0.0
M,65+,Masters,Entrepreneur,129615,0,2,216.0,0.0
F,18-24,HighSchool,Teacher,26154,1,1,516.0,0.0
M,55-64,HighSchool,Student,17056,0,4,188.0,0.0
F,35-44,Masters,Performer,102626,0,5,228.0,0.0
M,35-44,Associate,Clerk,13005,0,2,391.0,0.0
M,25-34,Bachelors,Technician,61765,1,1,686.0,0.0
F,45-54,Masters,Entrepreneur,152256,0,5,1037.0,1.0
F,65+,Bachelors,Nurse,45739,1,1,618.0,0.0
M,55-64,Masters,Architect,47356,0,3,863.0,1.0
F,25-34,HighSchool,Teacher,12448,1,1,724.0,1.0
M,65+,Bachelors,Lawyer,256087,1,1,758.0,0.0
F,25-34,Masters,Manager,75781,0,3,740.0,1.0
M,25-34,Associate,Nurse,53000,0,5,1395.0,1.0
M,35-44,Masters,Doctor,164608,0,2,218.0,0.0
F,35-44,Bachelors,Manager,43979,0,5,1140.0,1.0
M,55-64,Masters,Doctor,143759,1,1,466.0,0.0
M,45-54,Doctorate,Entrepreneur,289789,0,5,1210.0,1.0
M,25-34,HighSchool,Secretary,12201,1,1,1445.0,1.0
M,45-54,Masters,Lawyer,256240,1,1,1495.0,1.0
M,55-64,HighSchool,Clerk,22971,0,2,402.0,0.0
M,45-54,HighSchool,Student,18347,1,1,631.0,0.0
M,45-54,Associate,Teacher,22895,1,2,377.0,0.0
M,25-34,Associate,Secretary,30844,1,2,769.0,0.0
M,35-44,Doctorate,Lawyer,268826,0,2,1059.0,1.0
M,55-64,Masters,Executive,192027,0,4,1139.0,1.0
M,18-24,Associate,Student,19018,1,1,225.0,0.0
F,45-54,Masters,Performer,227644,0,2,174.0,0.0
F,18-24,Bachelors,Nurse,40384,1,1,1397.0,1.0
M,25-34,HighSchool,Secretary,11660,0,5,593.0,0.0
M,18-24,Associate,Secretary,19515,1,2,350.0,0.0
M,35-44,Masters,Executive,127985,0,4,714.0,1.0
F,18-24,Associate,Clerk,21128,0,4,582.0,0.0
M,55-64,HighSchool,Student,15050,0,5,312.0,0.0
M,25-34,Masters,Entrepreneur,152246,1,1,472.0,0.0
M,45-54,Bachelors,Nurse,61481,0,3,277.0,0.0
M,25-34,HighSchool,Teacher,12748,1,2,474.0,0.0
F,25-34,Masters,Lawyer,103743,1,1,942.0,0.0
M,55-64,Bachelors,Executive,259211,0,4,330.0,0.0
M,25-34,Masters,Manager,59370,1,1,343.0,0.0
F,55-64,Masters,Performer,133119,0,4,364.0,0.0
F,55-64,Bachelors,Architect,80120,0,5,736.0,0.0
M,55-64,Associate,Janitor,16173,1,2,172.0,0.0
F,55-64,Masters,Lawyer,179258,1,1,781.0,1.0
M,35-44,Associate,Clerk,21839,0,4,727.0,0.0
F,18-24,Associate,Teacher,18403,0,3,245.0,0.0
F,25-34,HighSchool,Secretary,10164,1,1,1094.0,0.0
M,35-44,Doctorate,Doctor,299092,0,5,1036.0,1.0
M,65+,Associate,Teacher,18585,0,5,723.0,0.0
F,18-24,Masters,Technician,40410,1,2,917.0,1.0
